Time,T_0,P_0,L_0,T_1,P_1,L_1,T_2,P_2,L_2
1577958458.283722,19.17,1001.71,708.33,20.26,1001.1,798.33,19.76,1001.98,665.83
1577958518.331092,19.18,1001.71,729.17,20.26,1001.1,792.5,19.76,1001.98,662.5
1577958578.2764444,19.19,1001.72,780.0,20.27,1001.1,791.67,19.76,1001.98,656.67
1577958638.27351,19.22,1001.72,863.33,20.26,1001.1,781.67,19.76,1001.99,648.33
1577958698.2716925,19.25,1001.73,829.17,20.26,1001.1,758.33,19.75,1001.97,630.83
1577958758.2662935,19.31,1001.71,830.0,20.28,1001.09,730.0,19.75,1001.97,606.67
1577958818.2642045,19.34,1001.7,840.83,20.28,1001.09,711.67,19.74,1001.96,590.83
1577958878.2610161,19.35,1001.7,845.0,20.27,1001.09,693.33,19.74,1001.96,576.67
1577958938.25643,19.37,1001.7,845.0,20.26,1001.08,674.17,19.74,1001.98,562.5
1577958998.2541666,19.36,1001.71,840.0,20.25,1001.1,656.67,19.73,1001.99,549.17
1577959058.2512264,19.4,1001.74,829.17,20.24,1001.1,647.5,19.73,1002.01,545.0
1577959118.2474906,19.42,1001.74,813.33,20.24,1001.14,641.67,19.75,1002.03,544.17
1577959178.2446337,19.43,1001.74,788.33,20.23,1001.12,650.83,19.75,1002.01,552.5
1577959238.2420542,19.42,1001.74,758.33,20.23,1001.12,655.83,19.76,1002.02,557.5
1577959298.2378936,19.43,1001.73,733.33,20.23,1001.13,658.33,19.78,1002.04,556.67
1577959358.2358298,19.41,1001.74,714.17,20.23,1001.12,662.5,19.79,1002.02,559.17
1577959418.2316456,19.4,1001.72,698.33,20.23,1001.13,671.67,19.79,1002.01,567.5
1577959478.2278185,19.39,1001.72,686.67,20.25,1001.12,682.5,19.8,1002.0,577.5
1577959538.1991682,19.36,1001.7,675.83,20.26,1001.1,694.17,19.79,1001.97,585.83
1577959598.2211812,19.35,1001.72,670.0,20.27,1001.1,702.5,19.8,1001.97,589.17
1577959658.2191205,19.34,1001.7,669.17,20.29,1001.1,706.67,19.8,1001.97,590.83
1577959718.2168179,19.35,1001.67,672.5,20.29,1001.1,705.0,19.81,1001.97,587.5
1577959778.2128386,19.35,1001.66,685.83,20.29,1001.06,696.67,19.8,1001.94,580.83
1577959838.18288,19.34,1001.63,699.17,20.28,1001.05,690.83,19.81,1001.93,577.5
1577959898.2334669,19.34,1001.6,710.0,20.28,1000.99,684.17,19.83,1001.85,574.17
1577959958.178381,19.35,1001.58,718.33,20.27,1000.97,680.83,19.83,1001.85,574.17
1577960018.2279878,19.33,1001.59,725.83,20.28,1000.98,682.5,19.85,1001.84,571.67
1577960078.1985824,19.33,1001.56,731.67,20.28,1000.94,686.67,19.85,1001.84,571.67
1577960138.1950116,19.32,1001.56,735.0,20.27,1000.95,699.17,19.86,1001.8,575.83
1577960198.1917024,19.31,1001.56,732.5,20.28,1000.93,711.67,19.85,1001.81,586.67
1577960258.162577,19.31,1001.55,731.67,20.28,1000.93,730.83,19.86,1001.78,595.83
1577960318.2100923,19.32,1001.56,729.17,20.28,1000.95,744.17,19.86,1001.77,620.83
1577960378.182034,19.34,1001.54,726.67,20.28,1000.93,750.83,19.86,1001.77,620.83
1577960438.1784518,19.34,1001.54,729.17,20.29,1000.92,755.83,19.86,1001.77,625.83
1577960498.174407,19.34,1001.54,730.83,20.31,1000.94,758.33,19.86,1001.76,630.83
1577960558.1715848,19.33,1001.52,731.67,20.3,1000.93,765.0,19.88,1001.78,635.0
1577960618.143447,19.37,1001.52,737.5,20.31,1000.92,770.0,19.88,1001.77,640.0
1577960678.1649678,19.38,1001.5,738.33,20.31,1000.92,763.33,19.88,1001.76,641.67
1577960738.1605778,19.4,1001.5,749.17,20.31,1000.92,763.33,19.88,1001.76,636.67
1577960798.15805,19.4,1001.49,763.33,20.32,1000.92,767.5,19.87,1001.76,637.5
1577960858.153642,19.39,1001.49,771.67,20.32,1000.92,768.33,19.89,1001.76,635.0
1577960918.1241078,19.39,1001.49,773.33,20.31,1000.91,766.67,19.89,1001.76,632.5
1577960978.1726835,19.37,1001.49,816.67,20.28,1000.91,752.5,19.89,1001.76,623.33
1577961038.1460712,19.31,1001.49,821.67,20.27,1000.9,746.67,19.89,1001.76,623.33
1577961098.14303,19.32,1001.47,825.83,20.27,1000.89,738.33,19.89,1001.75,616.67
1577961158.1397316,19.33,1001.46,830.0,20.28,1000.87,725.83,19.89,1001.75,610.83
1577961218.1367989,19.33,1001.48,828.33,20.29,1000.87,705.83,19.88,1001.73,600.0
1577961278.1337035,19.33,1001.47,830.0,20.29,1000.88,697.5,19.87,1001.74,584.17
1577961338.1308079,19.35,1001.46,828.33,20.31,1000.87,678.33,19.86,1001.74,576.67
1577961398.1289368,19.34,1001.46,829.17,20.31,1000.87,670.83,19.87,1001.74,563.33
1577961458.1251779,19.36,1001.46,820.0,20.32,1000.86,656.67,19.86,1001.73,556.67
1577961518.1213398,19.33,1001.44,814.17,20.32,1000.85,650.0,19.86,1001.72,543.33
