Time,T_0,P_0,L_0,T_1,P_1,L_1,T_2,P_2,L_2
1578222204.0083034,17.33,995.66,65.0,21.89,994.54,47.5,18.91,995.72,71.67
1578222354.0524542,17.4,995.68,78.33,21.89,994.54,29.17,18.93,995.71,75.83
1578222503.960461,17.45,995.68,90.83,21.91,994.54,37.5,19.0,995.72,64.17
1578222653.936878,17.51,995.68,65.17,21.85,994.54,43.33,19.1,995.68,71.67
1578222803.9318075,17.59,995.64,64.17,21.84,994.54,46.67,19.23,995.68,63.33
1578222953.8863065,17.65,995.66,72.5,21.84,994.54,46.67,19.35,995.67,75.0
1578223103.8944323,17.73,995.7,103.33,21.97,994.58,50.83,19.49,995.7,85.0
1578223253.8507645,17.81,995.72,60.0,22.02,994.61,46.67,19.62,995.73,22.5
1578223403.8487568,17.88,995.73,80.83,22.01,994.61,43.33,19.74,995.71,23.33
1578223553.8063982,17.95,995.8,60.83,22.06,994.66,33.33,19.85,995.72,23.33
1578223703.7769425,18.01,995.82,56.67,22.08,994.7,31.67,19.97,995.78,20.83
1578223853.757026,18.06,995.82,88.33,22.08,994.7,31.67,20.07,995.82,22.5
1578224003.7672443,18.13,995.89,56.67,22.14,994.81,33.33,20.17,995.83,25.0
1578224153.7091968,18.21,995.95,59.17,22.14,994.81,33.33,20.26,995.9,25.0
1578224303.6890268,18.29,995.97,69.17,22.29,994.84,42.5,20.35,995.95,22.5
1578224453.6718273,18.37,995.98,115.0,22.32,994.85,47.5,20.44,995.95,22.5
1578224603.6528049,18.46,995.87,81.67,22.32,994.85,47.5,20.53,995.93,20.83
1578224753.6360428,18.54,995.91,87.5,22.4,994.78,40.0,20.63,995.83,20.0
1578224903.6128469,18.6,995.89,75.83,22.56,994.8,58.33,20.74,995.85,20.83
1578225053.5832272,18.66,995.91,68.33,22.62,994.8,124.17,20.83,995.87,24.17
1578225203.615863,18.72,995.93,63.33,22.62,994.8,124.17,21.05,995.92,30.83
1578225353.5668006,18.77,995.93,63.33,22.69,994.82,110.0,21.05,995.92,30.83
1578225503.5788195,18.92,995.96,57.5,22.78,994.86,38.33,21.25,995.95,26.67
1578225653.553319,18.95,996.0,53.33,22.92,994.9,29.17,21.25,995.95,26.67
1578225803.4982007,18.98,996.05,71.67,22.97,994.98,41.67,21.3,995.96,78.33
1578225953.4905827,19.03,996.06,62.5,23.01,995.0,130.0,21.4,996.05,78.33
1578226103.451121,19.07,996.07,59.17,23.01,995.0,130.0,21.45,996.06,70.0
1578226253.4284368,19.12,996.12,73.33,23.07,995.01,48.33,21.51,996.12,66.67
1578226403.4221554,19.18,996.15,77.5,23.15,995.09,39.17,21.56,996.13,62.5
1578226553.4162297,19.22,996.18,91.67,23.21,995.12,47.5,21.61,996.17,60.83
1578226853.3701353,19.31,996.21,60.0,23.29,995.17,43.33,21.72,996.18,60.83
1578227003.3381906,19.35,996.17,55.0,23.31,995.15,44.17,21.72,996.18,60.83
1578227453.2634254,19.49,996.12,79.17,23.28,995.09,84.17,21.92,996.07,67.5
1578228353.1389108,19.69,996.15,58.33,23.43,995.11,41.67,22.26,996.02,76.67
1578228503.1240654,19.72,996.17,80.83,23.47,995.15,37.5,22.32,996.05,78.33
1578228653.102077,19.75,996.15,97.5,23.5,995.13,50.0,22.36,996.08,59.17
1578228803.0796344,19.8,996.12,65.83,23.5,995.13,50.0,22.43,996.07,57.5
1578228953.0594707,19.82,996.12,88.33,23.58,995.1,30.83,22.48,996.05,51.67
1578229103.038738,19.85,996.12,69.17,23.58,995.1,30.83,22.53,996.04,51.67
1578229253.0324473,19.86,996.16,54.17,23.8,995.16,37.5,22.58,996.05,58.33
1578229403.0329351,19.92,996.17,51.67,23.8,995.16,37.5,22.62,996.1,55.0
1578229553.000406,19.99,996.15,49.17,23.97,995.13,35.83,22.65,996.11,52.5
1578229702.9948502,19.98,996.16,45.0,24.03,995.13,25.0,22.66,996.12,51.67
1578229852.9390256,19.97,996.17,45.0,24.09,995.13,25.0,22.66,996.12,51.67
1578230002.9317818,19.98,996.21,41.67,24.17,995.18,24.17,22.71,996.13,50.0
1578230152.9119325,19.99,996.29,40.83,24.22,995.26,21.67,22.74,996.18,45.0
1578230302.9323015,20.0,996.35,41.67,24.26,995.31,22.5,22.81,996.3,47.5
1578230452.8755229,20.02,996.34,46.67,24.29,995.31,24.17,22.82,996.31,45.83
1578230602.8461754,20.04,996.34,44.17,24.35,995.33,22.5,22.84,996.32,44.17
1578230752.8784509,20.06,996.41,41.67,24.39,995.39,20.0,22.85,996.36,46.67
1578230902.8029318,20.07,996.4,45.0,24.34,995.4,23.33,22.85,996.36,46.67
1578231052.791754,20.1,996.41,45.0,24.35,995.39,18.33,22.87,996.38,43.33
1578231202.7608593,20.1,996.45,35.83,24.35,995.39,18.33,22.93,996.39,41.67
1578231352.752937,20.14,996.52,36.67,24.39,995.47,10.83,22.94,996.4,40.83
1578231502.7557175,20.18,996.49,40.0,24.4,995.48,16.67,22.95,996.45,40.0
1578231652.7016559,20.19,996.58,35.0,24.4,995.48,16.67,22.95,996.46,37.5
1578231802.694769,20.2,996.61,36.67,24.41,995.59,13.33,22.93,996.54,35.0
1578231952.6718404,20.21,996.66,28.33,24.42,995.64,11.67,22.91,996.56,33.33
1578232102.6808693,20.21,996.71,29.17,24.43,995.69,10.83,22.92,996.61,35.0
1578232252.6263394,20.2,996.76,40.0,24.43,995.69,10.83,22.93,996.67,38.33
1578232402.6165297,20.2,996.75,34.17,24.45,995.73,8.33,22.93,996.71,38.33
1578232552.5969284,20.19,996.76,28.33,24.45,995.73,8.33,22.9,996.69,37.5
1578232702.568356,20.18,996.86,26.67,24.46,995.83,9.17,22.89,996.69,37.5
1578232852.600974,20.19,996.91,24.17,24.46,995.83,9.17,22.76,996.78,29.17
1578233002.5395772,20.2,996.92,22.5,24.45,995.93,12.5,22.76,996.78,29.17
1578233152.509081,20.2,996.98,25.0,24.44,995.99,14.17,22.59,996.8,25.83
1578233302.4951253,20.19,996.99,24.17,24.44,996.01,10.0,22.48,996.86,23.33
1578233452.4964461,20.2,997.03,21.67,24.44,996.05,9.17,22.5,996.94,22.5
1578233602.4668336,20.2,997.11,21.67,24.44,996.11,11.67,22.62,997.04,20.0
1578233752.4827337,20.2,997.13,15.83,24.44,996.14,7.5,22.65,997.07,18.33
1578233902.4226532,20.2,997.17,15.0,24.44,996.18,5.0,22.65,997.07,18.33
1578234052.3955793,20.2,997.21,14.17,24.45,996.2,5.83,22.69,997.12,14.17
1578234202.4253297,20.21,997.2,9.17,24.46,996.2,5.0,22.67,997.16,11.67
1578234352.3649898,20.22,997.22,8.33,24.47,996.25,4.17,22.67,997.16,11.67
1578234502.333775,20.24,997.25,7.5,24.48,996.26,4.17,22.61,997.17,10.0
1578234652.3204887,20.25,997.31,7.5,24.48,996.26,4.17,22.65,997.17,10.83
1578234802.3204875,20.27,997.37,6.67,24.53,996.37,3.33,22.71,997.25,10.83
1578234952.276457,20.29,997.39,6.67,24.53,996.37,3.33,22.73,997.3,10.83
1578235102.2636342,20.32,997.38,5.0,24.57,996.39,2.5,22.76,997.31,7.5
1578235252.2472508,20.34,997.42,5.0,24.59,996.43,1.67,22.78,997.31,5.83
1578235402.2321286,20.36,997.47,4.17,24.62,996.48,1.67,22.8,997.36,6.67
1578235552.2131867,20.38,997.51,4.17,24.62,996.48,1.67,22.82,997.39,5.0
1578235702.193567,20.42,997.51,3.33,24.67,996.51,0.83,22.83,997.42,5.83
1578235852.173719,20.45,997.54,2.5,24.69,996.55,0.83,22.86,997.42,5.0
1578236002.1547363,20.47,997.61,2.5,24.72,996.61,0.0,22.89,997.46,5.0
1578236152.1353726,20.5,997.66,0.83,24.75,996.65,0.0,22.92,997.5,4.17
1578236302.1152527,20.52,997.66,0.83,24.77,996.67,0.0,22.92,997.57,3.33
1578236452.1647134,20.54,997.67,0.83,24.8,996.69,0.0,22.84,997.55,2.5
1578236602.1490314,20.57,997.73,0.83,24.82,996.75,0.0,22.87,997.63,1.67
1578236752.0738401,20.59,997.73,0.83,24.84,996.74,0.0,22.87,997.6,1.67
1578236902.05713,20.62,997.71,0.0,24.85,996.72,0.0,22.88,997.59,1.67
1578237052.0286462,20.64,997.69,0.0,24.87,996.71,0.0,22.91,997.59,1.67
1578237202.044822,20.66,997.71,0.0,24.9,996.75,0.0,22.93,997.63,1.67
1578237352.0010657,20.68,997.76,0.0,24.9,996.75,0.0,22.93,997.63,1.67
1578237501.9545934,20.7,997.76,0.0,24.91,996.79,0.0,22.94,997.67,1.67
1578237651.969088,20.72,997.73,0.0,24.93,996.78,0.0,22.95,997.68,1.67
1578237801.9259584,20.74,997.75,0.0,24.93,996.78,0.0,22.96,997.67,0.83
1578237951.8958392,20.75,997.75,0.0,24.96,996.78,0.0,23.0,997.68,0.83
1578238101.8832266,20.77,997.78,0.0,24.97,996.83,0.0,23.03,997.67,0.83
1578238251.868366,20.79,997.83,0.0,24.97,996.83,0.0,23.04,997.71,29.17
1578238401.837703,20.8,997.86,0.0,24.99,996.89,0.0,23.09,997.74,27.5
1578238551.853884,20.81,997.9,0.0,25.01,996.95,0.0,23.13,997.78,26.67
1578238701.8090417,20.83,997.93,0.0,25.01,996.95,0.0,23.19,997.82,26.67
1578238851.8117554,20.85,997.98,0.0,25.03,997.03,0.0,23.26,997.89,26.67
1578239001.7640672,20.87,998.0,0.0,25.03,997.03,0.0,23.32,997.9,25.0
1578239151.7819548,20.88,998.01,0.0,25.05,997.07,0.0,23.37,997.92,25.83
1578239301.735883,20.89,998.02,0.0,25.05,997.07,0.0,23.4,997.92,25.0
1578239451.707958,20.9,998.01,0.0,25.06,997.09,0.0,23.43,997.89,25.0
1578239601.6928883,20.91,998.03,0.0,25.06,997.09,0.0,23.46,997.91,25.0
1578239751.6764736,20.92,998.02,0.0,25.08,997.12,0.0,23.48,997.91,25.0
1578239901.6629457,20.93,998.03,0.0,25.09,997.11,0.0,23.51,997.91,24.17
1578240051.6337419,20.95,998.07,0.0,25.09,997.14,0.0,23.54,997.92,25.0
1578240201.6186433,20.95,998.14,0.0,25.09,997.14,0.0,23.56,997.93,25.0
1578240351.6356573,20.97,998.19,0.0,25.11,997.24,0.0,23.56,997.98,24.17
1578240501.5919058,20.98,998.24,0.0,25.12,997.27,0.0,23.58,998.04,25.0
1578240651.5611217,20.99,998.25,0.0,25.13,997.3,0.0,23.61,998.09,25.0
1578240801.553848,20.99,998.3,0.0,25.14,997.33,0.0,23.63,998.1,25.0
1578240951.5337331,21.0,998.31,0.0,25.14,997.35,0.0,23.66,998.13,25.0
1578241101.5037203,21.01,998.3,0.0,25.15,997.35,0.0,23.66,998.16,25.0
1578241251.5179105,21.01,998.26,0.0,25.16,997.33,0.0,23.66,998.17,25.0
1578241401.474177,21.02,998.28,0.0,25.16,997.33,0.0,23.65,998.14,25.0
1578241551.4594758,21.03,998.25,0.0,25.17,997.31,0.0,23.66,998.12,25.0
1578241701.4310753,21.05,998.3,0.0,25.17,997.31,0.0,23.66,998.1,25.0
1578241851.4166949,21.06,998.3,0.0,25.19,997.36,0.0,23.67,998.13,25.0
1578242001.4019856,21.07,998.33,0.0,25.21,997.39,0.0,23.67,998.14,25.0
1578242151.3742168,21.07,998.35,0.0,25.22,997.39,0.0,23.7,998.15,25.0
1578242301.3595328,21.08,998.38,0.0,25.22,997.42,0.0,23.73,998.16,24.17
1578242451.3433459,21.09,998.38,0.0,25.23,997.43,0.0,23.76,998.2,24.17
1578242601.3295171,21.1,998.37,0.0,25.25,997.43,0.0,23.79,998.2,25.0
1578242751.29986,21.11,998.33,0.0,25.26,997.41,0.0,23.8,998.19,25.0
1578242901.2855575,21.12,998.35,0.0,25.26,997.42,0.0,23.83,998.19,25.0
1578243051.26877,21.13,998.39,0.0,25.26,997.42,0.0,23.85,998.19,25.0
1578243201.2562346,21.14,998.39,0.0,25.29,997.47,0.0,23.87,998.23,24.17
1578243351.290172,21.15,998.39,0.0,25.29,997.47,0.0,23.87,998.25,25.0
1578243501.2126908,21.16,998.4,0.0,25.3,997.48,0.0,23.87,998.25,25.0
1578243651.1985593,21.17,998.42,0.0,25.31,997.51,0.0,23.88,998.25,24.17
1578243801.1847749,21.18,998.46,0.0,25.31,997.54,0.0,23.88,998.28,25.0
1578243951.1706276,21.18,998.46,0.0,25.31,997.54,0.0,23.91,998.31,24.17
1578244101.1398215,21.19,998.44,0.0,25.32,997.54,0.0,23.91,998.28,25.0
1578244251.1569083,21.19,998.44,0.0,25.34,997.52,0.0,23.92,998.27,24.17
1578244401.1286564,21.19,998.43,0.0,25.35,997.52,0.0,23.94,998.26,24.17
1578244551.096943,21.2,998.45,0.0,25.35,997.56,0.0,23.93,998.32,24.17
1578244701.0835574,21.21,998.5,0.0,25.36,997.61,0.0,23.93,998.34,25.0
1578244851.064409,21.21,998.57,0.0,25.36,997.66,0.0,23.93,998.34,25.0
