Time,T_0,P_0,L_0,T_1,P_1,L_1,T_2,P_2,L_2
1578222204.0083034,16.3,995.66,65.0,20.18,994.54,47.5,17.58,995.72,71.67
1578222354.0524542,16.37,995.68,78.33,20.18,994.54,29.17,17.6,995.71,75.83
1578222503.960461,16.42,995.68,90.83,20.2,994.54,37.5,17.68,995.72,64.17
1578222653.936878,16.48,995.68,65.17,20.14,994.54,43.33,17.78,995.68,71.67
1578222803.9318075,16.56,995.64,64.17,20.12,994.54,46.67,17.9,995.68,63.33
1578222953.8863065,16.62,995.66,72.5,20.12,994.54,46.67,18.03,995.67,75.0
1578223103.8944323,16.7,995.7,103.33,20.26,994.58,50.83,18.16,995.7,85.0
1578223253.8507645,16.78,995.72,60.0,20.3,994.61,46.67,18.3,995.73,22.5
1578223403.8487568,16.85,995.73,80.83,20.3,994.61,43.33,18.42,995.71,23.33
1578223553.8063982,16.92,995.8,60.83,20.34,994.66,33.33,18.53,995.72,23.33
1578223703.7769425,16.98,995.82,56.67,20.36,994.7,31.67,18.64,995.78,20.83
1578223853.757026,17.03,995.82,88.33,20.36,994.7,31.67,18.74,995.82,22.5
1578224003.7672446,17.1,995.89,56.67,20.42,994.81,33.33,18.85,995.83,25.0
1578224153.7091966,17.18,995.95,59.17,20.42,994.81,33.33,18.94,995.9,25.0
1578224303.6890268,17.26,995.97,69.17,20.58,994.84,42.5,19.03,995.95,22.5
1578224453.6718273,17.34,995.98,115.0,20.6,994.85,47.5,19.12,995.95,22.5
1578224603.6528046,17.43,995.87,81.67,20.6,994.85,47.5,19.21,995.93,20.83
1578224753.6360428,17.51,995.91,87.5,20.68,994.78,40.0,19.3,995.83,20.0
1578224903.6128466,17.57,995.89,75.83,20.84,994.8,58.33,19.42,995.85,20.83
1578225053.5832274,17.63,995.91,68.33,20.9,994.8,124.17,19.5,995.87,24.17
1578225203.615863,17.69,995.93,63.33,20.9,994.8,124.17,19.73,995.92,30.83
1578225353.5668006,17.74,995.93,63.33,20.98,994.82,110.0,19.73,995.92,30.83
1578225503.5788195,17.89,995.96,57.5,21.06,994.86,38.33,19.92,995.95,26.67
1578225653.553319,17.92,996.0,53.33,21.2,994.9,29.17,19.92,995.95,26.67
1578225803.498201,17.95,996.05,71.67,21.26,994.98,41.67,19.98,995.96,78.33
1578225953.4905827,18.0,996.06,62.5,21.3,995.0,130.0,20.08,996.05,78.33
1578226103.451121,18.04,996.07,59.17,21.3,995.0,130.0,20.12,996.06,70.0
1578226253.4284368,18.09,996.12,73.33,21.36,995.01,48.33,20.19,996.12,66.67
1578226403.4221554,18.15,996.15,77.5,21.44,995.09,39.17,20.24,996.13,62.5
1578226553.4162295,18.19,996.18,91.67,21.5,995.12,47.5,20.28,996.17,60.83
1578226853.370135,18.28,996.21,60.0,21.58,995.17,43.33,20.4,996.18,60.83
1578227003.3381903,18.32,996.17,55.0,21.6,995.15,44.17,20.4,996.18,60.83
1578227453.2634256,18.46,996.12,79.17,21.56,995.09,84.17,20.6,996.07,67.5
1578228353.1389108,18.66,996.15,58.33,21.72,995.11,41.67,20.94,996.02,76.67
1578228503.1240654,18.69,996.17,80.83,21.76,995.15,37.5,21.0,996.05,78.33
1578228653.102077,18.72,996.15,97.5,21.78,995.13,50.0,21.04,996.08,59.17
1578228803.0796347,18.77,996.12,65.83,21.78,995.13,50.0,21.1,996.07,57.5
1578228953.0594707,18.79,996.12,88.33,21.86,995.1,30.83,21.16,996.05,51.67
1578229103.038738,18.82,996.12,69.17,21.86,995.1,30.83,21.2,996.04,51.67
1578229253.0324473,18.83,996.16,54.17,22.08,995.16,37.5,21.26,996.05,58.33
1578229403.0329351,18.89,996.17,51.67,22.08,995.16,37.5,21.3,996.1,55.0
1578229553.000406,18.96,996.15,49.17,22.26,995.13,35.83,21.32,996.11,52.5
1578229702.9948502,18.95,996.16,45.0,22.32,995.13,25.0,21.34,996.12,51.67
1578229852.9390256,18.94,996.17,45.0,22.38,995.13,25.0,21.34,996.12,51.67
1578230002.9317818,18.95,996.21,41.67,22.46,995.18,24.17,21.38,996.13,50.0
1578230152.9119325,18.96,996.29,40.83,22.5,995.26,21.67,21.42,996.18,45.0
1578230302.9323015,18.97,996.35,41.67,22.54,995.31,22.5,21.48,996.3,47.5
1578230452.8755226,18.99,996.34,46.67,22.58,995.31,24.17,21.5,996.31,45.83
1578230602.8461757,19.01,996.34,44.17,22.64,995.33,22.5,21.52,996.32,44.17
1578230752.8784509,19.03,996.41,41.67,22.68,995.39,20.0,21.52,996.36,46.67
1578230902.8029318,19.04,996.4,45.0,22.62,995.4,23.33,21.52,996.36,46.67
1578231052.791754,19.07,996.41,45.0,22.64,995.39,18.33,21.54,996.38,43.33
1578231202.7608593,19.07,996.45,35.83,22.64,995.39,18.33,21.6,996.39,41.67
1578231352.7529368,19.11,996.52,36.67,22.68,995.47,10.83,21.62,996.4,40.83
1578231502.7557175,19.15,996.49,40.0,22.68,995.48,16.67,21.62,996.45,40.0
1578231652.701656,19.16,996.58,35.0,22.68,995.48,16.67,21.62,996.46,37.5
1578231802.694769,19.17,996.61,36.67,22.7,995.59,13.33,21.6,996.54,35.0
1578231952.6718404,19.18,996.66,28.33,22.7,995.64,11.67,21.58,996.56,33.33
1578232102.6808693,19.18,996.71,29.17,22.72,995.69,10.83,21.6,996.61,35.0
1578232252.6263394,19.17,996.76,40.0,22.72,995.69,10.83,21.6,996.67,38.33
1578232402.6165295,19.17,996.75,34.17,22.74,995.73,8.33,21.6,996.71,38.33
1578232552.5969286,19.16,996.76,28.33,22.74,995.73,8.33,21.58,996.69,37.5
1578232702.568356,19.15,996.86,26.67,22.74,995.83,9.17,21.56,996.69,37.5
1578232852.600974,19.16,996.91,24.17,22.74,995.83,9.17,21.44,996.78,29.17
1578233002.5395772,19.17,996.92,22.5,22.74,995.93,12.5,21.44,996.78,29.17
1578233152.5090811,19.17,996.98,25.0,22.72,995.99,14.17,21.26,996.8,25.83
1578233302.4951253,19.16,996.99,24.17,22.72,996.01,10.0,21.16,996.86,23.33
1578233452.4964461,19.17,997.03,21.67,22.72,996.05,9.17,21.18,996.94,22.5
1578233602.4668336,19.17,997.11,21.67,22.72,996.11,11.67,21.3,997.04,20.0
1578233752.4827335,19.17,997.13,15.83,22.72,996.14,7.5,21.32,997.07,18.33
1578233902.4226534,19.17,997.17,15.0,22.72,996.18,5.0,21.32,997.07,18.33
1578234052.3955793,19.17,997.21,14.17,22.74,996.2,5.83,21.36,997.12,14.17
1578234202.4253294,19.18,997.2,9.17,22.74,996.2,5.0,21.35,997.16,11.67
